"nodos","tiempo","optimizacion"
300,6.811,"inicial"
300,3.686,"break"
300,3.583,"igual1"
300,
450,34.032,"inicial"
450,18.014,"break"
450,18.138,"igual1"
450,
500,51.013,"inicial"
500,21.805,"break"
500,29.834,"igual1"
500,
600,109.732,"inicial"
600,58.398,"break"
600,56.573,"igual1"
600,
700,212.487,"inicial"
700,106.833,"break"
700,122.668,"igual1"
700,
800,372.709,"inicial"
800,189.395,"break"
800,197.699,"igual1"
800,
900,642.711,"inicial"
900,312.839,"break"
900,339.403,"igual1"
900,
1000,1002.886,"inicial"
1000,515.689,"break"
1000,508.282,"igual1"
1000,
